FlightDate,Airline,FlightNumber,OriginAirport,DestinationAirport,DepartureDelay,DelayReason,WeatherCondition
2024-01-01,Indigo,IN405,PNQ,LKO,123,Crew,Clear
2024-02-28,SpiceJet,SP571,LKO,BOM,43,Weather,Fog
2024-06-18,Vistara,VI729,DEL,HYD,40,Weather,Clear
2024-01-09,Vistara,VI712,DEL,HYD,117,Crew,Clear
2024-02-29,GoAir,GO322,DEL,HYD,89,Technical,Clear
2024-05-27,Air India,AI691,LKO,BOM,51,Weather,Clear
2024-02-26,Vistara,VI407,MAA,DEL,166,Technical,Clear
2024-06-09,Vistara,VI669,PNQ,DEL,179,Security,Clear
2024-05-14,Air India,AI813,CCU,BLR,111,Weather,Heavy Rain
2024-05-17,Vistara,VI346,BLR,HYD,51,ATC,Clear
2024-01-15,GoAir,GO522,CCU,MAA,114,Technical,Clear
2024-03-06,SpiceJet,SP438,BOM,MAA,38,ATC,Clear
2024-01-14,Air India,AI486,DEL,PNQ,165,Weather,Clear
2024-02-25,Vistara,VI313,LKO,HYD,18,Security,Clear
2024-02-18,Indigo,IN864,PNQ,BOM,67,Technical,Clear
2024-03-02,GoAir,GO429,MAA,BLR,106,Weather,Thunderstorm
2024-03-07,Air India,AI625,PNQ,BLR,135,Weather,Thunderstorm
2024-02-22,Air India,AI420,CCU,DEL,71,Technical,Clear
2024-01-05,Air India,AI666,CCU,HYD,99,Weather,Heavy Rain
2024-04-07,GoAir,GO953,BLR,MAA,101,Technical,Clear
2024-05-05,Vistara,VI571,HYD,CCU,58,Crew,Clear
2024-05-19,Vistara,VI288,DEL,LKO,34,Weather,Fog
2024-01-02,Vistara,VI240,BLR,DEL,17,Crew,Clear
2024-05-09,Vistara,VI482,DEL,LKO,172,Technical,Clear
2024-06-17,Vistara,VI116,DEL,LKO,18,Technical,Clear
2024-05-15,Air India,AI648,MAA,DEL,125,Technical,Clear
2024-01-28,Indigo,IN636,HYD,BOM,149,Weather,Thunderstorm
2024-03-31,Air India,AI914,CCU,DEL,118,Weather,Snow
2024-05-24,SpiceJet,SP813,BLR,HYD,35,Technical,Clear
2024-01-24,Vistara,VI488,CCU,MAA,178,Weather,Fog
2024-06-28,SpiceJet,SP184,PNQ,CCU,99,Weather,Clear
2024-01-25,GoAir,GO143,BLR,BOM,160,Security,Clear
2024-03-10,Indigo,IN176,MAA,LKO,23,Technical,Clear
2024-03-21,Indigo,IN312,HYD,PNQ,116,ATC,Clear
2024-03-17,SpiceJet,SP677,BLR,LKO,114,ATC,Clear
2024-04-08,SpiceJet,SP909,BOM,LKO,103,Crew,Clear
2024-01-26,Vistara,VI337,BOM,BLR,172,Technical,Clear
2024-03-24,Indigo,IN749,MAA,PNQ,140,Security,Clear
2024-04-01,GoAir,GO484,CCU,BOM,112,Technical,Clear
2024-06-07,Air India,AI917,BLR,CCU,83,Weather,Heavy Rain
2024-04-07,SpiceJet,SP857,CCU,HYD,38,Weather,Fog
2024-03-19,Vistara,VI468,MAA,DEL,62,Weather,Snow
2024-04-24,GoAir,GO668,CCU,DEL,105,Weather,Clear
2024-01-24,GoAir,GO712,LKO,PNQ,89,Weather,Snow
2024-04-09,Indigo,IN842,BLR,LKO,112,Technical,Clear
2024-02-05,Air India,AI408,MAA,BLR,57,Weather,Snow
2024-03-11,Vistara,VI406,PNQ,CCU,79,Weather,Heavy Rain
2024-06-09,Vistara,VI708,BLR,MAA,92,Weather,Fog
2024-04-11,Air India,AI961,CCU,PNQ,127,ATC,Clear
2024-04-20,GoAir,GO239,MAA,HYD,66,Technical,Clear
2024-03-21,SpiceJet,SP507,LKO,HYD,177,Crew,Clear
2024-05-27,SpiceJet,SP433,CCU,HYD,115,ATC,Clear
2024-01-30,GoAir,GO304,HYD,CCU,21,Crew,Clear
2024-02-23,Vistara,VI916,MAA,PNQ,119,Technical,Clear
2024-02-05,Air India,AI347,MAA,CCU,123,Weather,Snow
2024-01-19,Vistara,VI712,PNQ,MAA,144,Weather,Snow
2024-05-19,Indigo,IN909,LKO,CCU,152,ATC,Clear
2024-01-28,SpiceJet,SP773,LKO,BOM,26,Technical,Clear
2024-03-25,Vistara,VI208,DEL,BOM,145,Weather,Clear
2024-05-22,GoAir,GO804,BLR,MAA,133,Weather,Clear
2024-06-25,GoAir,GO254,LKO,DEL,90,Weather,Snow
2024-01-22,Indigo,IN951,HYD,BLR,131,Weather,Heavy Rain
2024-05-13,Vistara,VI456,PNQ,DEL,130,Weather,Thunderstorm
2024-01-18,Air India,AI145,BOM,DEL,180,ATC,Clear
2024-06-22,SpiceJet,SP858,BLR,LKO,55,Weather,Thunderstorm
2024-05-23,Vistara,VI573,BLR,PNQ,62,Weather,Heavy Rain
2024-06-12,Vistara,VI505,DEL,CCU,65,Technical,Clear
2024-05-31,Vistara,VI498,DEL,CCU,86,Weather,Fog
2024-05-27,Indigo,IN918,HYD,BLR,132,Weather,Fog
2024-03-08,Vistara,VI640,LKO,MAA,115,Weather,Clear
2024-01-30,Air India,AI460,PNQ,MAA,91,Weather,Clear
2024-05-31,Indigo,IN788,HYD,BLR,93,Weather,Fog
2024-02-16,Air India,AI810,HYD,LKO,167,Weather,Heavy Rain
2024-05-27,Vistara,VI533,HYD,MAA,180,Technical,Clear
2024-05-22,SpiceJet,SP601,MAA,BOM,130,Weather,Clear
2024-01-14,Air India,AI109,PNQ,BOM,113,Weather,Clear
2024-05-09,Vistara,VI518,PNQ,BLR,128,Crew,Clear
2024-02-12,Indigo,IN678,DEL,PNQ,89,Crew,Clear
2024-03-11,SpiceJet,SP650,MAA,BOM,159,Crew,Clear
2024-05-20,GoAir,GO215,BOM,BLR,108,Crew,Clear
2024-04-22,GoAir,GO323,CCU,DEL,78,Crew,Clear
2024-01-09,Vistara,VI369,LKO,PNQ,127,ATC,Clear
2024-03-01,SpiceJet,SP930,LKO,PNQ,176,Crew,Clear
2024-02-12,GoAir,GO242,BLR,PNQ,30,Weather,Clear
2024-03-30,GoAir,GO387,HYD,BLR,89,Security,Clear
2024-05-26,Air India,AI978,BOM,HYD,120,Security,Clear
2024-03-11,SpiceJet,SP818,HYD,BOM,97,Weather,Heavy Rain
2024-06-22,Vistara,VI601,HYD,LKO,175,Technical,Clear
2024-04-06,Vistara,VI177,BOM,MAA,86,Technical,Clear
2024-04-26,Vistara,VI435,DEL,PNQ,38,Crew,Clear
2024-06-11,Air India,AI970,BOM,PNQ,70,Technical,Clear
2024-02-24,Vistara,VI374,LKO,PNQ,155,Weather,Clear
2024-02-03,GoAir,GO972,PNQ,CCU,27,Weather,Fog
2024-01-26,Vistara,VI116,BOM,PNQ,131,Weather,Fog
2024-04-19,SpiceJet,SP805,HYD,CCU,85,Weather,Fog
2024-06-16,Air India,AI356,BOM,BLR,57,Technical,Clear
2024-04-11,Air India,AI843,BLR,MAA,39,Technical,Clear
2024-02-24,Vistara,VI179,HYD,LKO,128,Weather,Fog
2024-01-03,Air India,AI936,BOM,PNQ,48,Weather,Snow
2024-01-19,SpiceJet,SP492,BOM,CCU,41,ATC,Clear
2024-04-04,Air India,AI240,CCU,PNQ,49,ATC,Clear
2024-01-18,GoAir,GO676,DEL,LKO,127,Technical,Clear
2024-02-24,SpiceJet,SP521,PNQ,CCU,40,Weather,Heavy Rain
2024-02-01,GoAir,GO847,CCU,HYD,95,Security,Clear
2024-03-04,Air India,AI760,BOM,HYD,168,Technical,Clear
2024-06-25,Indigo,IN968,MAA,BOM,145,Technical,Clear
2024-04-10,Air India,AI761,DEL,PNQ,76,ATC,Clear
2024-04-08,Indigo,IN346,PNQ,LKO,150,Technical,Clear
2024-04-02,Air India,AI235,CCU,PNQ,122,ATC,Clear
2024-05-19,SpiceJet,SP881,PNQ,CCU,165,Weather,Fog
2024-01-04,Air India,AI320,DEL,BOM,116,Security,Clear
2024-06-09,GoAir,GO885,CCU,BLR,36,Crew,Clear
2024-03-12,Indigo,IN417,BOM,LKO,54,Security,Clear
2024-04-10,GoAir,GO749,BOM,BLR,76,Technical,Clear
2024-03-03,Indigo,IN544,BOM,MAA,29,Technical,Clear
2024-06-19,SpiceJet,SP222,DEL,CCU,17,Weather,Heavy Rain
2024-05-07,Air India,AI635,MAA,BOM,83,Weather,Fog
2024-01-08,Air India,AI926,CCU,HYD,82,Technical,Clear
2024-05-07,Vistara,VI623,LKO,DEL,160,Weather,Heavy Rain
2024-04-04,SpiceJet,SP361,BOM,LKO,44,Technical,Clear
2024-05-10,Indigo,IN145,DEL,HYD,108,Weather,Snow
2024-02-08,SpiceJet,SP978,DEL,LKO,122,ATC,Clear
2024-03-23,SpiceJet,SP526,LKO,HYD,161,ATC,Clear
2024-01-31,GoAir,GO789,DEL,HYD,147,Weather,Fog
2024-04-12,Indigo,IN998,PNQ,CCU,94,Weather,Thunderstorm
2024-01-23,GoAir,GO567,DEL,BLR,159,Weather,Thunderstorm
2024-06-08,SpiceJet,SP575,LKO,MAA,65,Security,Clear
2024-02-08,Indigo,IN519,DEL,HYD,177,Technical,Clear
2024-03-26,Indigo,IN877,CCU,PNQ,93,Crew,Clear
2024-02-22,GoAir,GO343,CCU,BLR,51,Security,Clear
2024-01-24,Indigo,IN337,CCU,LKO,132,ATC,Clear
2024-05-28,Indigo,IN617,HYD,CCU,34,ATC,Clear
2024-04-21,SpiceJet,SP342,MAA,HYD,115,ATC,Clear
2024-03-22,Vistara,VI378,BLR,DEL,49,Security,Clear
2024-02-09,Indigo,IN268,PNQ,BLR,45,Weather,Clear
2024-04-01,SpiceJet,SP562,MAA,BLR,45,Weather,Fog
2024-02-10,Air India,AI946,DEL,HYD,98,ATC,Clear
2024-01-24,SpiceJet,SP464,CCU,MAA,91,Weather,Thunderstorm
2024-02-14,Indigo,IN514,PNQ,MAA,78,Crew,Clear
2024-04-28,Indigo,IN923,HYD,DEL,71,Weather,Heavy Rain
2024-02-20,Vistara,VI481,BOM,LKO,34,Technical,Clear
2024-01-17,SpiceJet,SP761,PNQ,CCU,99,Weather,Fog
2024-01-11,Vistara,VI151,HYD,LKO,116,Weather,Snow
2024-01-08,Vistara,VI799,CCU,BOM,62,Weather,Thunderstorm
2024-03-12,Vistara,VI252,DEL,LKO,77,Technical,Clear
2024-05-07,Vistara,VI663,PNQ,DEL,113,Weather,Heavy Rain
2024-04-17,SpiceJet,SP758,BLR,CCU,154,Security,Clear
2024-04-07,Air India,AI591,PNQ,HYD,143,Security,Clear
2024-04-09,Air India,AI284,DEL,BLR,22,Technical,Clear
2024-01-15,Vistara,VI642,LKO,PNQ,74,Technical,Clear
2024-01-26,SpiceJet,SP772,BLR,HYD,29,Technical,Clear
2024-05-27,Vistara,VI463,HYD,BOM,96,Weather,Thunderstorm
2024-05-31,Indigo,IN820,LKO,MAA,159,Technical,Clear
2024-05-06,GoAir,GO416,HYD,MAA,29,Weather,Heavy Rain
2024-06-03,SpiceJet,SP120,PNQ,DEL,172,Weather,Heavy Rain
2024-02-03,Air India,AI834,HYD,PNQ,97,ATC,Clear
2024-01-06,SpiceJet,SP700,HYD,PNQ,149,Weather,Thunderstorm
2024-01-19,Air India,AI821,CCU,MAA,92,Weather,Thunderstorm
2024-02-04,SpiceJet,SP849,CCU,PNQ,139,Technical,Clear
2024-02-14,GoAir,GO810,LKO,BOM,59,Technical,Clear
2024-03-19,Air India,AI230,HYD,CCU,161,Weather,Snow
2024-05-25,Indigo,IN286,LKO,PNQ,71,Security,Clear
2024-05-07,SpiceJet,SP439,BOM,HYD,96,Weather,Heavy Rain
2024-06-11,Indigo,IN941,LKO,BLR,68,Weather,Heavy Rain
2024-06-26,Indigo,IN458,MAA,PNQ,15,Weather,Fog
2024-04-08,Vistara,VI850,CCU,BOM,141,ATC,Clear
2024-03-30,GoAir,GO484,BOM,PNQ,162,Weather,Heavy Rain
2024-02-11,Vistara,VI175,DEL,BLR,81,Weather,Fog
2024-01-19,Air India,AI274,CCU,BOM,155,Crew,Clear
2024-03-27,GoAir,GO728,PNQ,LKO,57,Weather,Clear
2024-04-21,SpiceJet,SP154,BOM,BLR,63,Weather,Snow
2024-06-27,GoAir,GO839,MAA,CCU,75,Weather,Fog
2024-01-13,Vistara,VI685,PNQ,BOM,15,Weather,Snow
2024-01-23,Air India,AI943,PNQ,BOM,67,Weather,Heavy Rain
2024-06-12,Air India,AI183,PNQ,CCU,116,Weather,Snow
2024-05-05,Air India,AI193,CCU,BOM,112,Weather,Thunderstorm
2024-02-17,Vistara,VI145,MAA,BLR,72,Weather,Thunderstorm
2024-05-24,Indigo,IN254,BOM,DEL,153,Technical,Clear
2024-05-30,SpiceJet,SP666,DEL,PNQ,148,Weather,Snow
2024-05-17,Vistara,VI686,BLR,MAA,116,Weather,Fog
2024-05-08,GoAir,GO629,HYD,DEL,129,Security,Clear
2024-02-12,SpiceJet,SP927,BLR,BOM,35,Weather,Snow
2024-02-21,SpiceJet,SP954,MAA,HYD,32,Security,Clear
2024-04-09,GoAir,GO506,LKO,PNQ,132,Weather,Fog
2024-06-28,GoAir,GO701,CCU,DEL,52,Weather,Clear
2024-05-30,GoAir,GO876,BOM,DEL,40,Technical,Clear
2024-05-17,Air India,AI998,CCU,HYD,139,Weather,Clear
2024-06-04,Vistara,VI138,HYD,BLR,173,Weather,Clear
2024-06-23,Vistara,VI139,CCU,HYD,27,Technical,Clear
2024-03-09,Air India,AI120,LKO,PNQ,94,Crew,Clear
2024-05-05,Indigo,IN989,BLR,BOM,128,Weather,Thunderstorm
2024-03-09,Vistara,VI719,BOM,HYD,119,Weather,Snow
2024-05-12,Air India,AI940,DEL,LKO,31,Crew,Clear
2024-05-09,Vistara,VI238,DEL,HYD,66,Weather,Fog
2024-03-04,Indigo,IN567,DEL,BLR,85,Crew,Clear
2024-04-28,GoAir,GO506,BOM,CCU,110,Weather,Snow
2024-06-01,Vistara,VI281,PNQ,MAA,103,Technical,Clear
2024-03-07,Indigo,IN391,DEL,MAA,161,Weather,Heavy Rain
2024-02-26,SpiceJet,SP793,BLR,HYD,146,Technical,Clear
2024-06-23,Indigo,IN585,HYD,CCU,17,Weather,Heavy Rain
2024-03-05,GoAir,GO924,MAA,CCU,179,Security,Clear
2024-04-18,Vistara,VI972,LKO,BLR,134,Weather,Thunderstorm
2024-06-22,GoAir,GO944,CCU,MAA,145,Weather,Thunderstorm
2024-05-23,GoAir,GO723,MAA,HYD,138,Technical,Clear
2024-03-27,Air India,AI755,LKO,PNQ,91,Weather,Heavy Rain
2024-02-08,GoAir,GO883,BLR,DEL,168,ATC,Clear
2024-06-18,Air India,AI797,HYD,CCU,142,Weather,Thunderstorm
2024-03-07,Vistara,VI514,CCU,LKO,161,Weather,Heavy Rain
2024-03-28,SpiceJet,SP802,PNQ,LKO,91,Weather,Heavy Rain
2024-06-17,GoAir,GO285,MAA,DEL,81,Weather,Clear
2024-02-16,Air India,AI770,BOM,HYD,93,Weather,Snow
2024-03-25,Air India,AI366,MAA,BLR,135,ATC,Clear
2024-06-11,GoAir,GO694,BOM,MAA,143,ATC,Clear
2024-06-23,Vistara,VI642,MAA,BLR,53,Weather,Heavy Rain
2024-02-21,Air India,AI519,PNQ,BOM,61,Weather,Fog
2024-05-04,Air India,AI746,HYD,BLR,16,Technical,Clear
2024-03-11,SpiceJet,SP879,HYD,LKO,140,Crew,Clear
2024-02-03,GoAir,GO544,CCU,BLR,137,Weather,Snow
2024-01-02,Indigo,IN646,BLR,CCU,18,Weather,Thunderstorm
2024-05-15,SpiceJet,SP118,DEL,CCU,72,Crew,Clear
2024-03-20,SpiceJet,SP205,CCU,MAA,57,Technical,Clear
2024-01-12,Air India,AI397,PNQ,LKO,149,Technical,Clear
2024-04-21,SpiceJet,SP450,PNQ,HYD,57,Crew,Clear
2024-01-05,SpiceJet,SP329,HYD,BOM,165,Crew,Clear
2024-02-01,Air India,AI828,DEL,MAA,80,ATC,Clear
2024-06-01,Indigo,IN777,BOM,CCU,27,ATC,Clear
2024-04-16,Vistara,VI489,BOM,LKO,54,Weather,Heavy Rain
2024-06-26,Indigo,IN408,CCU,LKO,148,Weather,Thunderstorm
2024-06-08,GoAir,GO817,HYD,MAA,41,ATC,Clear
2024-03-13,Indigo,IN903,BOM,MAA,66,Weather,Thunderstorm
2024-05-13,SpiceJet,SP466,CCU,HYD,155,Weather,Snow
2024-02-23,Vistara,VI438,BLR,DEL,37,Weather,Fog
2024-05-26,Vistara,VI252,BOM,PNQ,40,Technical,Clear
2024-06-13,SpiceJet,SP567,MAA,HYD,40,Weather,Heavy Rain
2024-01-11,Air India,AI468,LKO,BLR,39,Crew,Clear
2024-01-03,SpiceJet,SP779,HYD,BLR,127,Weather,Clear
2024-03-09,Indigo,IN481,LKO,BOM,117,Weather,Snow
2024-03-10,Vistara,VI806,PNQ,CCU,57,Weather,Fog
2024-02-03,Indigo,IN964,HYD,DEL,166,Weather,Snow
2024-05-25,Vistara,VI285,CCU,PNQ,22,Weather,Heavy Rain
2024-05-03,Vistara,VI215,CCU,BLR,81,Weather,Thunderstorm
2024-01-04,GoAir,GO885,BLR,CCU,147,ATC,Clear
2024-04-20,SpiceJet,SP593,LKO,CCU,113,Technical,Clear
2024-05-22,GoAir,GO155,DEL,CCU,144,Security,Clear
2024-05-06,SpiceJet,SP176,PNQ,HYD,86,Weather,Fog
2024-05-09,SpiceJet,SP663,CCU,BLR,35,ATC,Clear
2024-04-23,GoAir,GO558,BOM,PNQ,95,Weather,Fog
2024-05-07,Indigo,IN205,CCU,BLR,155,Weather,Fog
2024-01-24,GoAir,GO733,MAA,LKO,131,Technical,Clear
2024-04-03,Indigo,IN936,BLR,PNQ,158,Weather,Clear
2024-06-02,Vistara,VI833,LKO,CCU,39,Weather,Heavy Rain
2024-01-01,Air India,AI463,MAA,LKO,42,Technical,Clear
2024-02-12,Vistara,VI243,CCU,DEL,65,Weather,Heavy Rain
2024-01-31,Vistara,VI320,PNQ,CCU,101,Crew,Clear
2024-04-16,Indigo,IN748,BOM,PNQ,132,ATC,Clear
2024-05-07,Indigo,IN643,DEL,LKO,164,Security,Clear
2024-05-10,SpiceJet,SP808,HYD,CCU,41,ATC,Clear
2024-06-17,GoAir,GO720,LKO,MAA,122,ATC,Clear
2024-03-11,Vistara,VI451,MAA,BLR,50,ATC,Clear
2024-06-03,GoAir,GO406,LKO,CCU,156,Crew,Clear
2024-02-21,SpiceJet,SP739,MAA,CCU,48,Weather,Heavy Rain
2024-05-08,GoAir,GO810,LKO,CCU,105,Weather,Clear
2024-05-02,GoAir,GO684,CCU,LKO,151,Crew,Clear
2024-04-18,Indigo,IN635,BOM,DEL,28,Weather,Fog
2024-02-21,Air India,AI868,HYD,BLR,52,Technical,Clear
2024-06-25,Air India,AI308,DEL,BLR,41,ATC,Clear
2024-06-14,GoAir,GO498,BLR,LKO,88,Crew,Clear
2024-04-07,Vistara,VI526,LKO,MAA,79,Weather,Heavy Rain
2024-06-07,Vistara,VI949,BLR,CCU,180,Crew,Clear
2024-05-30,GoAir,GO856,BLR,PNQ,64,Crew,Clear
2024-04-24,SpiceJet,SP799,BOM,HYD,146,Security,Clear
2024-04-06,Indigo,IN538,MAA,LKO,56,Weather,Clear
2024-03-06,Indigo,IN438,PNQ,LKO,25,Security,Clear
2024-03-23,GoAir,GO152,MAA,BLR,155,Crew,Clear
2024-01-19,Air India,AI638,BLR,BOM,144,Technical,Clear
2024-04-16,GoAir,GO649,CCU,DEL,69,Weather,Thunderstorm
2024-03-25,Air India,AI400,BLR,PNQ,136,Technical,Clear
2024-01-30,Air India,AI556,BLR,CCU,174,Technical,Clear
2024-01-11,Air India,AI490,BOM,MAA,87,Weather,Fog
2024-05-12,Air India,AI626,PNQ,BLR,64,Weather,Thunderstorm
2024-05-11,Indigo,IN198,HYD,PNQ,16,Technical,Clear
2024-02-23,SpiceJet,SP985,CCU,PNQ,152,Weather,Snow
2024-06-14,Indigo,IN864,HYD,DEL,99,Weather,Fog
